,disease
2937,"Continuous Muscle Fiber Activity, Hereditary"
2938,Continuous Tremor
2939,Contracture
2940,Contracture of joint
2941,Conus Medullaris Syndrome
2942,Conventional (Clear Cell) Renal Cell Carcinoma
2943,Convergence Nystagmus
2944,Convulsions
2945,"Convulsions, Benign Familial Infantile, 1"
2946,Convulsive Seizures
2947,Cooley's anemia
2948,Copper-Overload Cirrhosis
2949,Cor Pulmonale
2950,Coralliform cataract
2951,Cornea Squamous Cell Carcinoma
2952,Corneal Diseases
2953,"Corneal Dystrophy, Congenital Stromal"
2954,"Corneal Dystrophy, Juvenile Epithelial of Meesmann"
2955,"Corneal Dystrophy, Lattice Type IIIA"
2956,Corneal Neovascularization
2957,Corneal Opacity
2958,Corneal Scar
2959,Corneal Ulcer
2960,"Corneal dystrophy, Fuchs' endothelial, 1"
2961,"Corneal dystrophy, Lattice type 3"
2962,"Corneal dystrophy, epithelial basement membrane"
2963,Cornelia De Lange Syndrome
2964,Cornelia de Lange Syndrome 1
2965,Cornelia de Lange Syndrome 3
2966,Coronal craniosynostosis
2967,Coronal synostosis
2968,Coronary Aneurysm
2969,Coronary Arteriosclerosis
2970,Coronary Artery Disease
2971,Coronary Artery Vasospasm
2972,Coronary Atherosclerosis
2973,Coronary Restenosis
2974,Coronary Stenosis
2975,Coronary Thrombosis
2976,Coronary Vessel Anomalies
2977,Coronary heart disease
2978,Coronavirus Infections
2979,Corpus Callosum Malformation
2980,"Corpus Callosum, Agenesis of, with Facial Anomalies and Robin Sequence"
2981,"Corpus Callosum, Agenesis of, with Mental Retardation, Ocular Coloboma, and Micrognathia"
2982,Corpus Luteum Cyst
2983,Corpus callosum agenesis neuronopathy
2984,Cortical Congenital Hyperostosis
2985,Cortical Dysplasia
2986,Cortical dysplasia with focal epilepsy syndrome
2987,Cortical malformations
2988,Cortical pulverulent cataract
2989,Cortical visual impairment
2990,Corticosteroid-Binding Globulin Deficiency
2991,Corticosterone Methyl Oxidase Type I Deficiency
2992,Corticosterone Methyl Oxidase Type II Deficiency
2993,Corticostriatal-Spinal Degeneration
2994,Cortisone reductase deficiency
2995,Costello Syndrome
2996,Costello syndrome (disorder)
2997,Coughing
2998,Coumarin Resistance
2999,Coxiella burnetii Infection
3000,Coxsackievirus Infection
3001,Coxsackievirus Infections
3002,Craniodiaphyseal dysplasia
3003,Craniofacial Abnormalities
3004,Craniofacial Dysostosis
3005,Craniofacial deafness hand syndrome
3006,Craniofacial dysostosis type 1
3007,Craniofacial ulnar renal syndrome
3008,Craniofrontonasal dysplasia
3009,Craniolenticulosutural Dysplasia
3010,"Craniometaphyseal dysplasia, autosomal recessive type"
3011,Craniopharyngioma
3012,"Craniopharyngioma, Child"
3013,Craniorachischisis
3014,Cranioschisis
3015,Craniosynostosis
3016,"Craniosynostosis, Type 1"
3017,Craving for alcohol
3018,"Creatine deficiency, X-linked"
3019,Creatine phosphokinase serum increased
3020,Crescendo Transient Ischemic Attacks
3021,Creutzfeldt-Jakob Disease
3022,"Creutzfeldt-Jakob Disease, Familial"
3023,"Creutzfeldt-Jakob Disease, Heidenhain Variant"
3024,"Creutzfeldt-Jakob Disease, Sporadic"
3025,Creutzfeldt-Jakob disease
3026,Cri-du-Chat Syndrome
3027,"Crigler Najjar syndrome, type 1"
3028,"Crigler Najjar syndrome, type 2"
3029,Crisponi syndrome
3030,Crohn Colitis
3031,Crohn Disease
3032,Crohn's disease of large bowel
3033,Crohn's disease of the ileum
3034,Cronkhite-Canada Syndrome
3035,Cruveilhier-Baumgarten Syndrome
3036,"Cryohydrocytosis, Stomatin-Deficient, with Mental Retardation, Seizures, Cataracts, and Massive Hepatosplenomegaly"
3037,Cryopyrin-Associated Periodic Syndromes
3038,Cryptogenic Chronic Hepatitis
3039,Cryptogenic Infantile Spasms
3040,Cryptogenic Partial Complex Epilepsy
3041,Cryptogenic Tonic-Clonic Epilepsy
3042,Cryptogenic multifocal ulcerous stenosing enteritis
3043,Cryptogenic sexual precocity
3044,Cryptophthalmos syndrome
3045,"Cryptophthalmos, Unilateral or Bilateral, Isolated"
3046,Cryptorchidism
3047,Cryptosporidium infection
3048,Curling Ulcer
3049,Curly hair-ankyloblepharon-nail dysplasia syndrome
3050,Currarino triad
3051,Curvature of spine
3052,Cushing Syndrome
3053,Cutaneous Fibrous Histiocytoma
3054,Cutaneous Lupus Erythematosus
3055,Cutaneous Malignant Melanoma 2
3056,Cutaneous Mastocytosis
3057,Cutaneous Melanoma
3058,Cutaneous leiomyosarcoma (less common)
3059,Cutaneous syndactyly
3060,Cutis Gyrata Syndrome of Beare And Stevenson
3061,Cutis Laxa
3062,"Cutis Laxa With Severe Pulmonary, Gastrointestinal, And Urinary Abnormalities"
3063,"Cutis Laxa, Autosomal Dominant"
3064,"Cutis Laxa, Autosomal Recessive, Type I"
3065,"Cutis Laxa, Autosomal Recessive, Type IIA"
3066,"Cutis Laxa, Autosomal Recessive, Type IIB"
3067,"Cutis Verticis Gyrata, Retinitis Pigmentosa, and Sensorineural Deafness"
3068,"Cutis laxa, recessive"
3069,"Cutis laxa, recessive, type I"
3070,"Cutis laxa, x-linked"
3071,Cutis marmorata telangiectatica congenita
3072,Cyanosis
3073,Cyclic Hematopoesis
3074,Cyclic neutropenia
3075,Cyclocephaly
3076,Cyst
3077,Cystathionase Deficiency
3078,Cystathionine beta-Synthase Deficiency Disease
3079,Cystathioninuria
3080,Cystic Echinocccosis
3081,Cystic Fibrosis
3082,Cystic Kidney Disease with Ventriculomegaly
3083,Cystic Kidney Diseases
3084,Cystic kidney
3085,Cystic liver disease
3086,Cystic medial necrosis of aorta
3087,Cystinosis
3088,"Cystinosis, benign, nonnephropathic"
3089,Cystinuria
3090,"Cystinuria, Type A"
3091,"Cystinuria, Type B"
3092,Cystitis
3093,Cytochrome-c Oxidase Deficiency
3094,Cytomegalovirus Infections
3095,Cytomegalovirus Retinitis
3096,Cytosolic acetoacetyl-CoA thiolase deficiency
3097,Cytotoxic Brain Edema
3098,Cytotoxic Cerebral Edema
3099,"Cytotoxicity Tests, Immunologic"
3100,"Czech dysplasia, metatarsal type"
3101,D-2-HYDROXYGLUTARIC ACIDURIA 1
3102,D-2-HYDROXYGLUTARIC ACIDURIA 2
3103,D-Glyceric aciduria
3104,D-glycericacidemia
3105,"DANDY-WALKER MALFORMATION WITH MENTAL RETARDATION, BASAL GANGLIA DISEASE, AND SEIZURES"
3106,DEAFNESS AND MYOPIA
3107,"DEAFNESS, AMINOGLYCOSIDE-INDUCED"
3108,"DEAFNESS, AUTOSOMAL DOMINANT 1 (disorder)"
3109,"DEAFNESS, AUTOSOMAL DOMINANT 17"
3110,"DEAFNESS, AUTOSOMAL DOMINANT 22, WITH HYPERTROPHIC CARDIOMYOPATHY"
3111,"DEAFNESS, AUTOSOMAL DOMINANT 23"
3112,"DEAFNESS, AUTOSOMAL DOMINANT 25 (disorder)"
3113,"DEAFNESS, AUTOSOMAL DOMINANT 27"
3114,"DEAFNESS, AUTOSOMAL DOMINANT 34, WITH OR WITHOUT INFLAMMATION"
3115,"DEAFNESS, AUTOSOMAL DOMINANT 3A (disorder)"
3116,"DEAFNESS, AUTOSOMAL DOMINANT 40"
3117,"DEAFNESS, AUTOSOMAL DOMINANT 41 (disorder)"
3118,"DEAFNESS, AUTOSOMAL DOMINANT 4B"
3119,"DEAFNESS, AUTOSOMAL DOMINANT 5 (disorder)"
3120,"DEAFNESS, AUTOSOMAL DOMINANT 50"
3121,"DEAFNESS, AUTOSOMAL DOMINANT 56"
3122,"DEAFNESS, AUTOSOMAL DOMINANT 6"
3123,"DEAFNESS, AUTOSOMAL DOMINANT 64"
3124,"DEAFNESS, AUTOSOMAL DOMINANT 65"
3125,"DEAFNESS, AUTOSOMAL DOMINANT 66"
3126,"DEAFNESS, AUTOSOMAL DOMINANT 67"
3127,"DEAFNESS, AUTOSOMAL DOMINANT 68"
3128,"DEAFNESS, AUTOSOMAL DOMINANT 69"
3129,"DEAFNESS, AUTOSOMAL DOMINANT 70"
3130,"DEAFNESS, AUTOSOMAL DOMINANT 71"
3131,"DEAFNESS, AUTOSOMAL DOMINANT 72"
3132,"DEAFNESS, AUTOSOMAL DOMINANT 74"
3133,"DEAFNESS, AUTOSOMAL DOMINANT, WITH PERIPHERAL NEUROPATHY"
3134,"DEAFNESS, AUTOSOMAL RECESSIVE (disorder)"
3135,"DEAFNESS, AUTOSOMAL RECESSIVE 101"
3136,"DEAFNESS, AUTOSOMAL RECESSIVE 102"
3137,"DEAFNESS, AUTOSOMAL RECESSIVE 103"
3138,"DEAFNESS, AUTOSOMAL RECESSIVE 104"
3139,"DEAFNESS, AUTOSOMAL RECESSIVE 106"
3140,"DEAFNESS, AUTOSOMAL RECESSIVE 107"
3141,"DEAFNESS, AUTOSOMAL RECESSIVE 108"
3142,"DEAFNESS, AUTOSOMAL RECESSIVE 109"
3143,"DEAFNESS, AUTOSOMAL RECESSIVE 111"
3144,"DEAFNESS, AUTOSOMAL RECESSIVE 15"
3145,"DEAFNESS, AUTOSOMAL RECESSIVE 18B"
3146,"DEAFNESS, AUTOSOMAL RECESSIVE 1A (disorder)"
3147,"DEAFNESS, AUTOSOMAL RECESSIVE 2"
3148,"DEAFNESS, AUTOSOMAL RECESSIVE 25"
3149,"DEAFNESS, AUTOSOMAL RECESSIVE 26"
3150,"DEAFNESS, AUTOSOMAL RECESSIVE 29"
3151,"DEAFNESS, AUTOSOMAL RECESSIVE 31"
3152,"DEAFNESS, AUTOSOMAL RECESSIVE 32"
3153,"DEAFNESS, AUTOSOMAL RECESSIVE 35"
3154,"DEAFNESS, AUTOSOMAL RECESSIVE 36, WITH OR WITHOUT VESTIBULAR INVOLVEMENT"
3155,"DEAFNESS, AUTOSOMAL RECESSIVE 39 (disorder)"
3156,"DEAFNESS, AUTOSOMAL RECESSIVE 4, WITH ENLARGED VESTIBULAR AQUEDUCT"
3157,"DEAFNESS, AUTOSOMAL RECESSIVE 42 (disorder)"
3158,"DEAFNESS, AUTOSOMAL RECESSIVE 44"
3159,"DEAFNESS, AUTOSOMAL RECESSIVE 48"
3160,"DEAFNESS, AUTOSOMAL RECESSIVE 49"
3161,"DEAFNESS, AUTOSOMAL RECESSIVE 57"
3162,"DEAFNESS, AUTOSOMAL RECESSIVE 59"
3163,"DEAFNESS, AUTOSOMAL RECESSIVE 6"
3164,"DEAFNESS, AUTOSOMAL RECESSIVE 61"
3165,"DEAFNESS, AUTOSOMAL RECESSIVE 63"
3166,"DEAFNESS, AUTOSOMAL RECESSIVE 66"
3167,"DEAFNESS, AUTOSOMAL RECESSIVE 68"
3168,"DEAFNESS, AUTOSOMAL RECESSIVE 70"
3169,"DEAFNESS, AUTOSOMAL RECESSIVE 74"
3170,"DEAFNESS, AUTOSOMAL RECESSIVE 76"
3171,"DEAFNESS, AUTOSOMAL RECESSIVE 77 (disorder)"
3172,"DEAFNESS, AUTOSOMAL RECESSIVE 84A"
3173,"DEAFNESS, AUTOSOMAL RECESSIVE 84B"
3174,"DEAFNESS, AUTOSOMAL RECESSIVE 86"
3175,"DEAFNESS, AUTOSOMAL RECESSIVE 88"
3176,"DEAFNESS, AUTOSOMAL RECESSIVE 89"
3177,"DEAFNESS, AUTOSOMAL RECESSIVE 91"
3178,"DEAFNESS, AUTOSOMAL RECESSIVE 93"
3179,"DEAFNESS, AUTOSOMAL RECESSIVE 97"
3180,"DEAFNESS, AUTOSOMAL RECESSIVE 98"
3181,"DEAFNESS, AUTOSOMAL RECESSIVE, 24"
3182,"DEAFNESS, CHILDHOOD-ONSET NEUROSENSORY, AUTOSOMAL RECESSIVE 8"
3183,"DEAFNESS, DIGENIC, GJB2/GJB3 (disorder)"
3184,"DEAFNESS, DIGENIC, GJB2/GJB6 (disorder)"
3185,"DEAFNESS, DYSTONIA, AND CEREBRAL HYPOMYELINATION"
3186,"DEAFNESS, NONSYNDROMIC, MODIFIER 1 (disorder)"
3187,"DEAFNESS, X-LINKED 1 (disorder)"
3188,"DEAFNESS, X-LINKED 4 (disorder)"
3189,"DEAFNESS, X-LINKED 5 (disorder)"
3190,"DEAFNESS, X-LINKED 6"
3191,"DEAFNESS, X-LINKED 7"
3192,DEHYDRATED HEREDITARY STOMATOCYTOSIS 1 WITH OR WITHOUT PSEUDOHYPERKALEMIA AND/OR PERINATAL EDEMA
3193,DEHYDRATED HEREDITARY STOMATOCYTOSIS 2
3194,DEND syndrome
3195,DERMODISTORTIVE URTICARIA
3196,DESANTO-SHINAWI SYNDROME
3197,DESBUQUOIS DYSPLASIA 1
3198,DESBUQUOIS DYSPLASIA 2
3199,DEVELOPMENTAL DELAY AND SEIZURES WITH OR WITHOUT MOVEMENT ABNORMALITIES
3200,"DEVELOPMENTAL DELAY WITH SHORT STATURE, DYSMORPHIC FEATURES, AND SPARSE HAIR"
3201,"DEVELOPMENTAL DELAY, INTELLECTUAL DISABILITY, OBESITY, AND DYSMORPHIC FEATURES"
3202,DEVELOPMENTAL DYSPLASIA OF THE HIP 1
3203,"DIABETES MELLITUS, INSULIN-DEPENDENT, 10"
3204,"DIABETES MELLITUS, INSULIN-DEPENDENT, 12"
3205,"DIABETES MELLITUS, INSULIN-DEPENDENT, 2"
3206,"DIABETES MELLITUS, INSULIN-DEPENDENT, 20 (disorder)"
3207,"DIABETES MELLITUS, INSULIN-DEPENDENT, 22 (disorder)"
3208,"DIABETES MELLITUS, INSULIN-DEPENDENT, 5"
3209,"DIABETES MELLITUS, NONINSULIN-DEPENDENT, 1 (disorder)"
3210,"DIABETES MELLITUS, NONINSULIN-DEPENDENT, 5"
3211,"DIABETES MELLITUS, PERMANENT NEONATAL"
3212,"DIABETES MELLITUS, TRANSIENT NEONATAL, 2 (disorder)"
3213,"DIABETES MELLITUS, TRANSIENT NEONATAL, 3 (disorder)"
3214,DIAMOND-BLACKFAN ANEMIA 11
3215,DIAMOND-BLACKFAN ANEMIA 12
3216,DIAMOND-BLACKFAN ANEMIA 13
3217,DIAMOND-BLACKFAN ANEMIA 14 WITH MANDIBULOFACIAL DYSOSTOSIS
3218,DIAMOND-BLACKFAN ANEMIA 15 WITH MANDIBULOFACIAL DYSOSTOSIS
3219,DIAMOND-BLACKFAN ANEMIA 16
3220,DIAMOND-BLACKFAN ANEMIA 17
3221,DIAMOND-BLACKFAN ANEMIA-LIKE
3222,"DIARRHEA 10, PROTEIN-LOSING ENTEROPATHY TYPE"
3223,"DIARRHEA 5, WITH TUFTING ENTEROPATHY, CONGENITAL"
3224,DIARRHEA 6
3225,"DIARRHEA 7, PROTEIN-LOSING ENTEROPATHY TYPE"
3226,DICER1 syndrome
3227,DNA Ligase I Deficiency
3228,DNA Repair-Deficiency
3229,DNA Repair-Deficiency Disorders
3230,DOSAGE-SENSITIVE SEX REVERSAL
3231,DOWLING-DEGOS DISEASE 2
3232,DOWLING-DEGOS DISEASE 4
3233,DOYNE HONEYCOMB RETINAL DYSTROPHY
3234,"DRUG METABOLISM, ALTERED, CYP2C8-RELATED"
3235,DUANE RETRACTION SYNDROME 3 WITH OR WITHOUT DEAFNESS
3236,DYSCHROMATOSIS UNIVERSALIS HEREDITARIA 3
3237,"DYSKERATOSIS CONGENITA, AUTOSOMAL DOMINANT"
3238,"DYSKERATOSIS CONGENITA, AUTOSOMAL DOMINANT 1"
3239,"DYSKERATOSIS CONGENITA, AUTOSOMAL DOMINANT 2"
3240,"DYSKERATOSIS CONGENITA, AUTOSOMAL DOMINANT 4"
3241,"DYSKERATOSIS CONGENITA, AUTOSOMAL DOMINANT 6"
3242,"DYSKERATOSIS CONGENITA, AUTOSOMAL DOMINANT, 3"
3243,"DYSKERATOSIS CONGENITA, AUTOSOMAL RECESSIVE 1"
3244,"DYSKERATOSIS CONGENITA, AUTOSOMAL RECESSIVE 2"
3245,"DYSKERATOSIS CONGENITA, AUTOSOMAL RECESSIVE 5"
3246,"DYSKERATOSIS CONGENITA, AUTOSOMAL RECESSIVE 6"
3247,"DYSKERATOSIS CONGENITA, AUTOSOMAL RECESSIVE, 3"
3248,"DYSKERATOSIS CONGENITA, AUTOSOMAL RECESSIVE, 4"
3249,"DYSKINESIA, LIMB AND OROFACIAL, INFANTILE-ONSET"
3250,"DYSKINESIA, SEIZURES, AND INTELLECTUAL DEVELOPMENTAL DISORDER"
3251,"DYSLEXIA, SUSCEPTIBILITY TO, 1"
3252,"DYSTONIA 1, TORSION, AUTOSOMAL DOMINANT"
3253,DYSTONIA 12
3254,"DYSTONIA 13, TORSION"
3255,DYSTONIA 16 (disorder)
3256,"DYSTONIA 17, TORSION, AUTOSOMAL RECESSIVE (disorder)"
3257,DYSTONIA 18 (disorder)
3258,"DYSTONIA 2, TORSION, AUTOSOMAL RECESSIVE (disorder)"
3259,DYSTONIA 21
3260,DYSTONIA 23
3261,DYSTONIA 24
3262,DYSTONIA 25
3263,"DYSTONIA 26, MYOCLONIC"
3264,DYSTONIA 27
3265,"DYSTONIA 28, CHILDHOOD-ONSET"
3266,"DYSTONIA 4, TORSION, AUTOSOMAL DOMINANT (disorder)"
3267,"DYSTONIA 7, TORSION (disorder)"
3268,"DYSTONIA, CHILDHOOD-ONSET, WITH OPTIC ATROPHY AND BASAL GANGLIA ABNORMALITIES"
3269,"DYSTONIA, DOPA-RESPONSIVE, WITH OR WITHOUT HYPERPHENYLALANINEMIA, AUTOSOMAL RECESSIVE (disorder)"
3270,Dandy-Walker Syndrome
3271,"Dandy-Walker Syndrome, Familial"
3272,Darkness Tremor
3273,De Barsy syndrome
3274,De La Chapelle Dysplasia
3275,De Sanctis-Cacchione syndrome
3276,De Toni-Debre-Fanconi Syndrome
3277,De Vaal's syndrome
3278,Deaf Mutism
3279,Deafness
3280,Deafness (in some patients)
3281,Deafness enamel hypoplasia nail defects
3282,"Deafness, Acquired"
3283,"Deafness, Autosomal Dominant 10"
3284,"Deafness, Autosomal Dominant 11"
3285,"Deafness, Autosomal Dominant 12"
3286,"Deafness, Autosomal Dominant 13"
3287,"Deafness, Autosomal Dominant 15"
3288,"Deafness, Autosomal Dominant 20"
3289,"Deafness, Autosomal Dominant 28"
3290,"Deafness, Autosomal Dominant 2A"
3291,"Deafness, Autosomal Dominant 2B"
3292,"Deafness, Autosomal Dominant 36"
3293,"Deafness, Autosomal Dominant 39, with Dentinogenesis Imperfecta 1"
3294,"Deafness, Autosomal Dominant 3B"
3295,"Deafness, Autosomal Dominant 4"
3296,"Deafness, Autosomal Dominant 44"
3297,"Deafness, Autosomal Dominant 48"
3298,"Deafness, Autosomal Dominant 9"
3299,"Deafness, Autosomal Recessive 12"
3300,"Deafness, Autosomal Recessive 16"
3301,"Deafness, Autosomal Recessive 18"
3302,"Deafness, Autosomal Recessive 1b"
3303,"Deafness, Autosomal Recessive 21"
3304,"Deafness, Autosomal Recessive 22"
3305,"Deafness, Autosomal Recessive 23"
3306,"Deafness, Autosomal Recessive 28"
3307,"Deafness, Autosomal Recessive 3"
3308,"Deafness, Autosomal Recessive 30"
3309,"Deafness, Autosomal Recessive 37"
3310,"Deafness, Autosomal Recessive 53"
3311,"Deafness, Autosomal Recessive 67"
3312,"Deafness, Autosomal Recessive 7"
3313,"Deafness, Autosomal Recessive 79"
3314,"Deafness, Autosomal Recessive 9"
3315,"Deafness, Congenital Heart Defects, and Posterior Embryotoxon"
3316,"Deafness, Congenital, and Onychodystrophy, Autosomal Dominant"
3317,"Deafness, Congenital, with Inner Ear Agenesis, Microtia, and Microdontia"
3318,"Deafness, Sensorineural, And Male Infertility"
3319,"Deafness, Sensorineural, Autosomal-Mitochondrial Type"
3320,"Deafness, Sudden"
3321,"Deafness, autosomal dominant nonsyndromic sensorineural 17"
3322,"Deafness, autosomal dominant nonsyndromic sensorineural 22"
3323,"Deafness, congenital onychodystrophy, recessive form"
3324,"Deafness, prelingual, profound (affects all frequencies)"
3325,"Deafness, profound, by 6th decade"
3326,Decreased level of plasminogen
3327,Decreased nerve conduction velocity
3328,Decreased serum complement C4b
3329,Deep Vein Thrombosis
3330,Deep seated dermatophytosis
3331,Deficiency of 3-oxoacid CoA-transferase
3332,Deficiency of Platelet Glycoprotein 1b
3333,Deficiency of Uroporphyrinogen III Synthase
3334,Deficiency of acetyl-CoA acetyltransferase
3335,Deficiency of aromatic-L-amino-acid decarboxylase
3336,Deficiency of bisphosphoglycerate mutase
3337,Deficiency of butyryl-CoA dehydrogenase
3338,Deficiency of dihydrofolate reductase
3339,Deficiency of fructokinase
3340,Deficiency of galactokinase
3341,Deficiency of glucose-6-phosphate dehydrogenase
3342,Deficiency of glutamate decarboxylase
3343,Deficiency of glycerol kinase
3344,Deficiency of iodide peroxidase (disorder)
3345,Deficiency of maleylacetoacetate isomerase
3346,Deficiency of mevalonate kinase
3347,Deficiency of phosphoglycerate kinase
3348,Deficiency of phosphoserine phosphatase
3349,Deficiency of prolidase
3350,Deficiency of pyruvate kinase
3351,Deficiency of sedoheptulokinase
3352,"Deficiency, Hexosediphosphatase"
3353,Deformity of facial bone
3354,"Degenerative Diseases, Central Nervous System"
3355,"Degenerative Diseases, Spinal Cord"
3356,Degenerative Intervertebral Discs
3357,Degenerative polyarthritis
3358,Deglutition Disorders
3359,"Dehydrated Hereditary Stomatocytosis, Pseudohyperkalemia, and Perinatal Edema"
3360,Dehydration
3361,Dejerine-Lichtheim Phenomenon
3362,Dejerine-Sottas Disease (disorder)
3363,Delayed Emergence from Anesthesia
3364,Delayed Hypersensitivity
3365,Delayed Puberty
3366,Delayed Sleep Phase Syndrome
3367,Delayed developmental milestones
3368,Delayed speech and language development
3369,Deletion 11p13
3370,Delirium
3371,"Delirium, Dementia, Amnestic, Cognitive Disorders"
3372,Delta-Beta Thalassemia
3373,Delusional disorder
3374,Dementia
3375,"Dementia, Vascular"
3376,"Dementia, familial Danish"
3377,Demyelinating Diseases
3378,Demyelination
3379,Dengue Fever
3380,Dengue Shock Syndrome
3381,Dengue Virus Infection
3382,Dent Disease 2
3383,Dent disease 1
3384,Dent disease type 2
3385,Dent's disease
3386,Dental Diseases
3387,Dental Enamel Hypoplasia
3388,Dentatorubral-Pallidoluysian Atrophy
3389,"Dentin dyspalsia, Shields type 2"
3390,"Dentin dysplasia, type 1"
3391,Dentinogenesis Imperfecta
3392,Dentinogenesis imperfecta - Shield's type III (disorder)
3393,Dentinogenesis imperfecta without osteogenesis imperfecta
3394,Denys-Drash Syndrome
3395,Deoxyguanosine Kinase Deficiency
3396,Depressed mood
3397,Depression Disorder
3398,Depression in children
